commit_sha,holdout_session,n_train_sessions,n_runs,n_combinations,n_seeds,accuracy_mean,accuracy_sd_across_runs,balanced_accuracy_mean,balanced_accuracy_sd_across_runs,walk_recall_mean,walk_recall_sd_across_runs,stop_recall_mean,stop_recall_sd_across_runs,walk_support,stop_support,n_windows,balanced_accuracy_min,balanced_accuracy_max,collapse_count
25047c459adb0205705cd17abc37bdd952343e45,ses-06,1,9,3,3,0.636734693877551,0.15535777118602204,0.6848994025263583,0.11103123579853244,0.8752276867030965,0.07036513803101589,0.49457111834962,0.28706453411821287,366,614,980,0.5370632420213239,0.7655702105694095,3
25047c459adb0205705cd17abc37bdd952343e45,ses-06,2,9,3,3,0.5952380952380952,0.13643452431565656,0.6659457823819441,0.10106478237164121,0.9453551912568305,0.039381244003823965,0.38653637350705755,0.24089786804906982,366,614,980,0.5631752727790534,0.7928125166871363,0
25047c459adb0205705cd17abc37bdd952343e45,ses-06,4,9,3,3,0.672108843537415,0.07967682537261214,0.7258207104418457,0.06133873978817862,0.9380692167577414,0.020673150205493897,0.5135722041259501,0.13447828591878294,366,614,980,0.6654651928587957,0.8037948772716754,0
25047c459adb0205705cd17abc37bdd952343e45,ses-06,7,3,1,3,0.7979591836734694,0.0,0.818897848026913,0.0,0.9016393442622951,0.0,0.7361563517915309,0.0,366,614,980,0.818897848026913,0.818897848026913,0
25047c459adb0205705cd17abc37bdd952343e45,ses-07,1,9,3,3,0.8071428571428572,0.021664156883226697,0.8170303720712222,0.009538245097900697,0.8561020036429873,0.0459024525038564,0.7779587404994571,0.06065545423301655,366,614,980,0.804475712429469,0.8250654135739841,0
25047c459adb0205705cd17abc37bdd952343e45,ses-07,2,9,3,3,0.7972789115646258,0.028721363153137905,0.7922369959001561,0.02160049066308917,0.7723132969034608,0.13890829689117165,0.8121606948968512,0.11811186759586974,366,614,980,0.7640082946191773,0.811297413716381,0
25047c459adb0205705cd17abc37bdd952343e45,ses-07,4,9,3,3,0.8482993197278912,0.01024227545912484,0.8445411556694731,0.020674067200303622,0.8296903460837887,0.06189896589731801,0.8593919652551575,0.02055281671681423,366,614,980,0.8192315907513216,0.8666542069382888,0
25047c459adb0205705cd17abc37bdd952343e45,ses-07,7,3,1,3,0.8275510204081633,0.0,0.8071990530606432,0.0,0.726775956284153,0.0,0.8876221498371335,0.0,366,614,980,0.8071990530606432,0.8071990530606432,0
25047c459adb0205705cd17abc37bdd952343e45,ses-08,1,9,3,3,0.7921768707482993,0.04388644902658757,0.745309802246311,0.06368086577645139,0.5601092896174864,0.14269908777398466,0.9305103148751357,0.018623121540764294,366,614,980,0.683273704633239,0.826533881561382,0
25047c459adb0205705cd17abc37bdd952343e45,ses-08,2,9,3,3,0.8200680272108843,0.030475886781771565,0.781730774935773,0.042268884366594935,0.6302367941712205,0.08904966386738943,0.9332247557003257,0.006148073644357291,366,614,980,0.7370774817108987,0.8338361723714423,0
25047c459adb0205705cd17abc37bdd952343e45,ses-08,4,9,3,3,0.8329931972789115,0.03089579562694429,0.8063921373180731,0.04906945271525568,0.7012750455373407,0.12105397768784544,0.9115092290988056,0.023276231153023547,366,614,980,0.7411758423666364,0.8435325109912604,0
