holdout_session,n_train_sessions,combo_index,train_sessions,model_seed,commit_sha,n_training_windows,n_training_stop,n_training_walk,selected_features,raw_accuracy,raw_balanced_accuracy,accuracy,balanced_accuracy,walk_recall,stop_recall,walk_support,stop_support,n_windows,dominant_fraction,collapse_warning
ses-01,4,3,ses-03;ses-05;ses-06;ses-08,2026,25047c459adb0205705cd17abc37bdd952343e45,276,180,96,13;10;40;82;67;84;1;6;19;18;2;11;64;23;37;26;20;52;73;72;83;22;3;15;9,0.7989795918367347,0.807572844911981,0.7989795918367347,0.8081246328830032,0.8442622950819673,0.7719869706840391,366,614,980,0.5418367346938775,False
ses-01,7,1,ses-02;ses-03;ses-04;ses-05;ses-06;ses-07;ses-08,42,25047c459adb0205705cd17abc37bdd952343e45,483,315,168,13;40;67;10;84;82;1;6;19;18;2;11;64;83;37;20;26;23;73;72;52;15;3;46;45,0.8153061224489796,0.8266718285541375,0.8275510204081633,0.8403063313219772,0.8907103825136612,0.7899022801302932,366,614,980,0.5357142857142857,False
ses-01,7,1,ses-02;ses-03;ses-04;ses-05;ses-06;ses-07;ses-08,123,25047c459adb0205705cd17abc37bdd952343e45,483,315,168,13;40;67;10;84;82;1;6;19;18;2;11;64;83;37;20;26;23;73;72;52;15;3;46;45,0.8153061224489796,0.8266718285541375,0.8275510204081633,0.8403063313219772,0.8907103825136612,0.7899022801302932,366,614,980,0.5357142857142857,False
ses-01,7,1,ses-02;ses-03;ses-04;ses-05;ses-06;ses-07;ses-08,2026,25047c459adb0205705cd17abc37bdd952343e45,483,315,168,13;40;67;10;84;82;1;6;19;18;2;11;64;83;37;20;26;23;73;72;52;15;3;46;45,0.8153061224489796,0.8266718285541375,0.8275510204081633,0.8403063313219772,0.8907103825136612,0.7899022801302932,366,614,980,0.5357142857142857,False
ses-02,1,1,ses-03,42,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,13;67;40;84;82;21;10;75;19;23;18;22;1;6;48;11;2;9;64;66;73;72;15;26;52,0.8734693877551021,0.8752959185489757,0.8806122448979592,0.8837551841369858,0.8961748633879781,0.8713355048859935,366,614,980,0.5846938775510204,False
ses-02,1,1,ses-03,123,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,13;67;40;84;82;21;10;75;19;23;18;22;1;6;48;11;2;9;64;66;73;72;15;26;52,0.8734693877551021,0.8752959185489757,0.8806122448979592,0.8837551841369858,0.8961748633879781,0.8713355048859935,366,614,980,0.5846938775510204,False
ses-02,1,1,ses-03,2026,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,13;67;40;84;82;21;10;75;19;23;18;22;1;6;48;11;2;9;64;66;73;72;15;26;52,0.8734693877551021,0.8752959185489757,0.8806122448979592,0.8837551841369858,0.8961748633879781,0.8713355048859935,366,614,980,0.5846938775510204,False
ses-02,1,2,ses-06,42,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,84;82;23;10;83;13;40;6;1;67;19;26;11;2;18;15;22;37;17;7;5;64;20;71;3,0.8418367346938775,0.8257729481497302,0.8448979591836735,0.8287677328634235,0.7650273224043715,0.8925081433224755,366,614,980,0.6469387755102041,False
ses-02,1,2,ses-06,123,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,84;82;23;10;83;13;40;6;1;67;19;26;11;2;18;15;22;37;17;7;5;64;20;71;3,0.8418367346938775,0.8257729481497302,0.8448979591836735,0.8287677328634235,0.7650273224043715,0.8925081433224755,366,614,980,0.6469387755102041,False
ses-02,1,2,ses-06,2026,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,84;82;23;10;83;13;40;6;1;67;19;26;11;2;18;15;22;37;17;7;5;64;20;71;3,0.8418367346938775,0.8257729481497302,0.8448979591836735,0.8287677328634235,0.7650273224043715,0.8925081433224755,366,614,980,0.6469387755102041,False
ses-02,1,3,ses-07,42,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,13;67;40;10;64;82;84;37;20;79;52;1;6;2;11;74;25;66;43;83;73;47;19;72;33,0.8806122448979592,0.8721676367455189,0.8857142857142857,0.8773428739253484,0.8442622950819673,0.9104234527687296,366,614,980,0.6285714285714286,False
ses-02,1,3,ses-07,123,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,13;67;40;10;64;82;84;37;20;79;52;1;6;2;11;74;25;66;43;83;73;47;19;72;33,0.8806122448979592,0.8721676367455189,0.8857142857142857,0.8773428739253484,0.8442622950819673,0.9104234527687296,366,614,980,0.6285714285714286,False
