stream_time_s,prediction,confidence,truth,feature_ms,decision_ms,end_to_end_ms,source_lateness_ms,smoothed_prediction,smoothing_delay_ms,smoothing_wall_delay_ms,total_latency_ms
2.05,STOP,0.9512995490506879,,4.626199995982461,0.07350000669248402,4.699700002674945,11.9999998860294,STOP,50.0,42.98860000562854,47.688300008303486
2.1,STOP,0.9748248904059325,,4.73519999650307,0.0754000066081062,4.810600003111176,0.0,STOP,50.0,46.57180000504013,51.38240000815131
2.15,STOP,0.9892399402868876,,5.168999996385537,0.07170000753831118,5.240700003923848,0.0,STOP,50.0,49.89749999367632,55.13819999760017
2.2,STOP,0.9789946887509796,,5.623299992294051,0.07599999662488699,5.699299988918938,0.0,STOP,50.0,52.15950000274461,57.858799991663545
2.25,STOP,0.982167562688019,,4.769999999552965,0.07369999366346747,4.843699993216433,0.0,STOP,50.0,55.45489999349229,60.29859998670872
2.3,STOP,0.9712948191061734,,4.918400009046309,0.08040000102482736,4.998800010071136,0.0,STOP,50.0,43.096800000057556,48.09560001012869
2.35,STOP,0.9788675707937449,,4.773299995576963,0.07049999840091914,4.843799993977882,0.0,STOP,50.0,60.85419999726582,65.6979999912437
2.4,STOP,0.9701701484125838,,4.602400003932416,0.07319998985622078,4.675599993788637,5.999999862979166,STOP,50.0,52.6084000011906,57.28399999497924
2.45,STOP,0.9696876461986988,,7.991300008143298,0.10479999764356762,8.096100005786866,2.9999998660059646,STOP,50.0,52.390099997865036,60.4862000036519
2.5,STOP,0.945492124612975,,4.946500004734844,0.07999999797903001,5.026500002713874,15.999999857740477,STOP,50.0,41.77319999143947,46.79969999415334
2.55,STOP,0.9398035953068495,,7.335100002819672,0.08620000153314322,7.4213000043528154,0.0,STOP,50.0,58.52530000265688,65.94660000700969
2.6,STOP,0.8822573362010415,,5.201099993428215,0.0754000066081062,5.276500000036322,8.999999845400453,STOP,50.0,47.045500003150664,52.322000003186986
2.65,STOP,0.9179568000937064,,5.66199999593664,0.09220000356435776,5.754199999500997,5.999999848427251,STOP,50.0,50.028500001644716,55.78270000114571
2.7,STOP,0.9234784964201386,,5.709499993827194,0.07900000491645187,5.788499998743646,2.9999998514540493,STOP,50.0,37.196199991740286,42.98469999048393
2.75,STOP,0.9463844963727519,,5.820199992740527,0.079699995694682,5.899899988435209,0.0,STOP,50.0,59.18589999782853,65.08579998626374
2.8,STOP,0.9764487384448012,,8.633300007204525,0.08759999764151871,8.720900004846044,0.0,STOP,50.0,44.904599999426864,53.62550000427291
2.85,STOP,0.9839943096288661,,6.54719999874942,0.09460000728722662,6.641800006036647,0.0,STOP,50.0,54.32280000241008,60.96460000844672
2.9,STOP,0.9755412874261553,,12.893600011011586,0.13220000255387276,13.025800013565458,0.0,STOP,50.0,49.68519999238197,62.711000005947426
2.95,STOP,0.9830664036105273,,5.14409999595955,0.07769999501761049,5.221799990977161,2.999999836902134,STOP,50.0,52.48630000278354,57.7080999937607
3.0,STOP,0.9919577427347417,,5.096000008052215,0.07609999738633633,5.172100005438551,0.0,STOP,50.0,0.029999995604157448,5.202100001042709
